Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidene interval);Burst size from Profile Likelihood(point estimate, and confidene interval);Mean expression
D030025P21Rik;[2.38181659e-01 1.24277699e+02 2.40100891e+02];[0.23818166 0.16447834 0.33651054];[1.93197084 1.28778632 3.04432652];0.46
Fcf1;[ 1.69391897 14.12462245 64.06761209];[1.60922302 1.23619818 2.10958509];[5.08018715 3.26738313 7.53817902];6.86
Ylpm1;[ 0.63968242 32.52899608 86.78398272];[0.63968242 0.45299035 0.83083887];[2.66789613 2.01981024 3.54637709];1.67
Dlst;[ 1.01088136  7.31709277 22.86398232];[0.96033729 0.71706572 1.39029005];[3.31222003 2.0210113  5.2305367 ];2.78
Pgf;[ 0.1203714  38.90842534 45.14157697];[0.12638997 0.06749214 0.17072029];[1.12539455 0.54011577 2.32339253];0.14
Eif2b2;[ 0.68807804  2.02015447 10.14841291];[0.68807804 0.50343575 0.95995811];[5.02358264 3.06650664 7.86268053];2.58
Mlh3;[0.09895802 0.69836802 1.53909659];[0.0049479       nan       nan];[2.20384746        nan        nan];0.19
Acyp1;[ 0.40827619 17.60580828 31.73308182];[0.38786238 0.22759341 0.587342  ];[1.80242118 1.20256349 3.92584453];0.72
Nek9;[ 0.38985    35.26645556 60.16394643];[0.4093425  0.28034117 0.56300999];[1.70598223 1.14445145 2.55203921];0.66
Tmed10;[ 1.77421854  8.55261321 61.84638408];[1.77421854 1.40798518 2.26455384];[ 7.4482236   4.84291784 10.42792756];10.63
Fos;[  0.46655944 179.28749171 443.48915464];[0.46655944 0.39596454 0.59534578];[2.47362016 1.85686038 3.32657888];1.15
Jdp2;[0.31246044 3.90410812 9.31368983];[0.31246044 0.18029867 0.50939366];[2.38561268 1.2922034  4.78417943];0.69
Mfsd7c;[ 0.03631244  8.33791676 11.43107006];[0.03631244 0.01374219 0.10264556];[1.37097436        nan        nan];0.05
0610007P14Rik;[ 1.08815436  5.18268284 12.4389167 ];[1.08815436 0.7334011  1.70814404];[2.40009221 1.2724961  4.3841554 ];2.16
Tgfb3;[  0.37264028   6.74085707 142.97842839];[0.40990431 0.3219594  0.46045541];[21.21071947 17.38559087 26.20326224];7.49
Angel1;[ 0.03461782  9.98065937 26.42208336];[0.03634871 0.02165247 0.07133616];[3.20326741 1.04373598 6.98323806];0.09
Pomt2;[  0.39696003 138.216578   162.43354592];[0.39696003 0.27615555 0.60954588];[1.13995399 0.72948788 1.79269382];0.47
Gstz1;[0.63511978 1.62501184 6.34287843];[0.63511978 0.44255616 0.9407005 ];[3.90328138 2.20385839 6.45841277];1.78
Tmed8;[0.22092474 4.11687433 7.12906197];[0.20987851 0.07136399 0.38063012];[1.83556871 0.91763139 6.42682323];0.36
Sptlc2;[ 0.50129328  1.59505549 13.32324988];[0.50129328 0.38741826 0.64746163];[ 8.35284414  5.82517421 11.94054753];3.19
Snw1;[ 0.6727894   2.30164406 18.32734596];[0.6727894  0.51469534 0.87000649];[ 7.96271945  5.45205056 11.82289977];4.15
Sel1l;[  0.88733491 195.72111502 753.71744615];[0.93170165 0.78530218 1.14470752];[3.50438876 2.85083193 4.41842996];3.4
Flrt2;[  0.70506581 166.00641085 196.25200348];[0.70506581 0.51865522 0.97741643];[1.18219533 0.82777876 1.68270292];0.83
Galc;[0.32932796 2.67340451 3.81341245];[0.32932796 0.06889539 0.66027421];[1.42642553        nan        nan];0.42
Kcnk10;[3.36611030e-02 8.77780845e+00 4.82948994e+01];[0.0336611  0.02206505 0.05626811];[ 5.50193134  2.74125638 12.63098447];0.18
Zc3h14;[ 0.95425364 11.37929438 38.09370031];[0.90654096 0.66259001 1.23798596];[3.84977784 2.36249147 5.83710861];2.95
Tdp1;[  0.51914619  85.06294582 155.71135659];[0.5451035  0.4043477  0.71058613];[1.77562644 1.27699574 2.45367159];0.94
Psmc1;[   2.02423394  972.03746852 1586.09078523];[2.02423394 1.63693983 2.53116579];[1.53381468        nan        nan];3.3
Calm1;[   2.87359066  329.12993101 2017.77119384];[2.87359066 2.46445001 3.34959536];[6.13062199 5.22328434 7.22771313];17.46
Rps6ka5;[0.11515295 1.29315712 2.55002755];[2.77555756e-17            nan            nan];[1.97193947        nan        nan];0.21
9030617O03Rik;[  0.64099587 141.75030898 251.0134167 ];[0.67304567 0.49213361 0.84307373];[1.77081389 1.31430095 2.43174337];1.13
Smek1;[0.22651823 0.83138801 3.27153761];[0.22651823 0.08321821 0.42419393];[ 3.93503103  1.77456441 12.72996362];0.7
D130020L05Rik;[0.01384522 0.43228275 1.31890513];[0.00069226        nan        nan];[3.05102423        nan        nan];0.04
Fbln5;[  1.31321945  42.2732335  362.71741163];[1.24755848 1.02632161 1.52946055];[ 8.58030914  7.25822441 10.20993716];10.93
Trip11;[  0.51604661 175.1517472  386.54163434];[0.51604661 0.40964894 0.66816731];[2.20689568 1.63592699 2.99206327];1.14
Cpsf2;[  0.82166393 127.4272365  340.66091554];[0.82166393 0.6670264  1.01998328];[2.673376   2.09349439 3.41976096];2.18
Rin3;[ 0.36489875  8.91310881 29.16152944];[0.32840887 0.23763019 0.47510363];[3.76252097 2.33892393 5.83504832];1.15
Lgmn;[ 0.92289562 11.70436219 71.66219877];[0.96904041 0.76044378 1.1662729 ];[5.57164926 4.41501518 8.11984586];5.24
Golga5;[ 0.51836975  5.47832507 13.28984399];[0.51836975 0.35006831 0.76476178];[2.42589548 1.51338166 4.13500231];1.15
Itpk1;[ 0.39384015 15.0566572  45.76675228];[0.39384015 0.27978242 0.51924479];[3.03963567 2.14073978 4.84195474];1.17
Ubr7;[  0.56000788 231.5738446  484.3838449 ];[0.56000788 0.4563036  0.73091385];[2.0917036  1.54364805 2.80297247];1.17
Btbd7;[0.02764139 1.45793849 4.90548203];[1.04083409e-17            nan            nan];[3.36467009        nan        nan];0.09
Asb2;[0.0151668  0.63108672 3.34852916];[0.00075834        nan        nan];[5.30597306        nan        nan];0.08
Ddx24;[ 0.76668755  1.34689852 12.7819045 ];[0.76668755 0.5839631  1.01781256];[ 9.48987941  6.1629752  14.15652696];4.64
Ifi27l2a;[9.75365415e-03 4.38907194e+00 2.05507667e+01];[0.01024134 0.00371342 0.02733401];[4.40132241        nan        nan];0.05
Serpina3h;[ 0.10971126  3.50999572 37.42428963];[0.10971126 0.08424797 0.14963148];[10.66220377  6.98441108 15.36292439];1.13
Serpina3n;[  0.15792093  67.87174455 100.48560576];[0.15792093 0.08596652 0.25311678];[1.48052192 0.85770455 2.60496367];0.23
Dicer1;[0.29989251 1.38892137 6.66248607];[0.29989251 0.19250364 0.45860411];[4.79687778 2.71758363 8.46394866];1.18
Glrx5;[  2.00882138 533.84857826 923.06909904];[2.00882138 1.64351745 2.48150766];[1.72908412 1.37979702 2.15219533];3.46
Atg2b;[  0.60513918 133.35991049 148.75084801];[0.60513918 0.43572067 0.8672354 ];[1.11540903 0.75117875 1.62715405];0.67
Papola;[  1.66743665 112.91278764 255.76528658];[1.66743665 1.2263056  2.17776253];[2.26515784 1.79313666 2.81187603];3.72
Vrk1;[3.39692180e-01 3.53510881e+02 9.66485305e+02];[0.3736614  0.30017193 0.43789748];[2.32386767 1.66477038 3.19920652];0.93
Setd3;[0.10144854 0.27617782 6.76976311];[0.10144854 0.0588402  0.16134914];[24.5123349  13.95744804 45.91834543];1.82
Ccnk;[ 0.24825546 13.26274012 46.62431852];[0.24825546 0.15292598 0.37949925];[3.51543634 2.15348843 6.55736419];0.86
Eml1;[  1.26829843 110.16592548 863.28249552];[1.26829843 1.09090806 1.47340603];[7.83620245 6.62038774 9.3384014 ];9.83
Evl;[ 0.59349953  4.09176987 14.59151514];[0.59349953 0.42084032 0.85387602];[3.56606446 2.13434444 5.79153173];1.85
Yy1;[  0.71560168 126.36533768 182.88725505];[0.75138177 0.53717494 1.02770507];[1.40387103 0.97166766 2.00734467];1.03
Wars;[ 0.60195075  2.79256429 10.34099352];[0.60195075 0.42225817 0.87737932];[3.70304582 2.14910812 6.10338742];1.83
Dlk1;[ 0.21005857  4.44996045 20.43423222];[0.19955564 0.14646816 0.28784402];[4.8675233  3.10082358 7.29672656];0.92
Meg3;[1.47540404e-01 7.02411365e+00 1.85009403e+02];[0.1475404  0.12279828 0.17707125];[26.33918132 19.9289616  35.79741319];3.81
Rian;[ 0.15952197  0.90128503 29.33671142];[0.15952197 0.13174581 0.19316065];[32.54987101 24.82264272 42.68987862];4.41
Dio3os;[ 0.26127323  2.15736533 25.17820086];[0.26127323 0.21078993 0.32411289];[11.67080997  8.68151556 15.64049025];2.72
Dio3;[ 0.18826254  1.86675138 74.56746832];[0.18826254 0.1563923  0.22291475];[42.34174801 30.83920757 53.95405189];6.83
Ppp2r5c;[  1.38917977 121.60312664 316.994986  ];[1.38917977 1.89462895 1.69729885];[2.60679963 2.09855587 3.25807308];3.58
Dync1h1;[ 0.77786326  5.9556646  67.52137631];[0.77786326 0.6542983  0.93294625];[11.33733694  8.8412953  14.38390016];7.8
Hsp90aa1;[  1.34788316  82.34289582 137.7203185 ];[1.55006564 1.20260248 1.95387934];[1.47181951 1.12080217 1.88475747];2.22
Zfp839;[1.61798232e-01 2.05365395e+02 2.90459515e+02];[0.16179823 0.11764109 0.30179317];[1.24463215 0.71459642 2.22757141];0.23
Cinp;[ 0.53983156  3.65859723 20.54544841];[0.53983156 0.41620062 0.70690976];[5.61566282 3.81323964 8.10135147];2.64
Ankrd9;[1.27352753e-01 1.26575469e+02 1.67352942e+02];[0.12735275 0.08026964 0.24275901];[1.28249459 0.68171976 2.5484066 ];0.17
Rcor1;[0.23718094 1.94244444 3.70721424];[0.23718094 0.09009659 0.47407903];[1.90853039 0.82058937 5.93017091];0.4
Traf3;[0.35723625 2.9123221  4.95775538];[0.35723625 0.14254642 0.65647236];[1.70233759 0.8146689  5.34391145];0.54
Cdc42bpb;[0.45155882 1.34349852 6.10913935];[0.45155882 0.27714998 0.71745564];[4.54718725 2.34837229 8.83481032];1.54
Tnfaip2;[ 0.23727254  0.4741766  10.28801084];[0.23727254 0.1738665  0.31785536];[21.69658048 14.82003988 32.2690749 ];3.43
Eif5;[ 0.72424874  2.26640318 33.6371115 ];[0.72424874 0.60456766 0.87286752];[14.84162735 11.44345397 19.06788245];8.15
Mark3;[ 0.53413077  3.24541414 15.46975868];[0.53413077 0.38617392 0.75617549];[4.76665165 2.90078923 7.47293981];2.19
Ckb;[  0.7096875  127.70917633 143.86719977];[0.7096875  0.52168603 1.00163805];[1.12652202 0.77821253 1.60060293];0.8
Trmt61a;[0.44735164 3.61227371 9.71977619];[0.44735164 0.30097093 0.68103742];[2.69076404 1.54624059 4.55807611];1.07
Bag5;[ 0.38311722  2.15813682 10.60217476];[0.38311722 0.27905298 0.52812132];[4.91265181 3.16470939 7.49113691];1.6
Klc1;[  0.76494123  32.60398806 184.18704565];[0.72669417 0.59353416 0.92145965];[5.64921829 4.60416238 6.99285363];4.22
Zfyve21;[ 0.68037963  3.69564117 18.53256212];[0.68037963 0.5201123  0.90061529];[5.01470821 3.39029125 7.36833666];2.88
2010107E04Rik;[  2.96378592 144.89515462 824.43290607];[2.96378592 2.7262678  3.54192696];[5.68985835 4.82757749 6.72722143];16.53
Tmem179;[0.0152888  1.32371776 3.67641478];[6.9388939e-18           nan           nan];[2.77734038        nan        nan];0.04
Inf2;[ 0.89357624  6.52199556 24.25267603];[0.89357624 0.67969737 1.22807989];[3.60703952 2.43397888 5.56109634];2.92
Siva1;[   1.56479855  228.37182591 1030.86053489];[1.56479855 1.3282919  1.84589308];[4.51395671 3.76997639 5.43367673];7.02
Akt1;[9.74701178e-01 1.46306188e+02 9.91666307e+02];[0.97470118 0.83507014 1.15737408];[6.57467968 5.52206757 8.09509031];6.56
BC022687;[  0.9542762   31.08370638 101.20517027];[1.00199001 0.7385363  1.20063114];[3.1582146  2.50123534 4.07831449];3.01
Cdca4;[ 0.79084204 28.52956819 65.68814799];[0.83038414 0.59134825 1.02789721];[2.09523727 1.68051507 2.98273465];1.77
Nudt14;[0.26542624 2.18288651 8.23130434];[0.26542624 0.1791978  0.39878583];[3.77083477 2.23681626 6.18742627];0.89
Brf1;[ 0.19582479  3.10313422 14.22093205];[0.19582479 0.13818061 0.28690627];[4.58276408 2.78131754 7.20638805];0.84
Btbd6;[0.09880924 0.27772768 1.73866877];[2.77555756e-17            nan            nan];[6.26033654        nan        nan];0.46
Pacs2;[0.23867809 3.19023788 8.46756771];[0.23867809 0.13899531 0.40615174];[2.65421201 1.3981508  5.16980097];0.59
Mta1;[0.04396254 0.13159312 2.69898564];[3.46944695e-17            nan            nan];[20.51008171         nan         nan];0.68
Crip1;[ 0.40593747  2.09637356 76.49030821];[0.40593747 0.34469487 0.47846591];[36.48696474 29.45856505 45.42521206];12.41
4930427A07Rik;[ 0.15418424 11.81097517 24.82421792];[0.15418424 0.08820594 0.23759815];[2.10179241 1.30684433 4.13877601];0.32
Zfp386;[ 0.40377733  3.65169924 10.15128291];[0.40377733 0.27143027 0.61352932];[2.77987924 1.60359697 4.68451273];1.01
Wdr60;[0.23153731 1.3436974  6.00756754];[0.23153731 0.14316465 0.35235712];[4.47092296 2.60319592 8.08595886];0.88
Esyt2;[ 0.85721271  4.39846539 13.7407206 ];[0.85721271 0.62145703 1.25921056];[3.12398061 1.79401827 5.00391133];2.24
Ncapg2;[ 0.22456823 32.88598531 74.73078038];[0.22456823 0.16298661 0.31210809];[2.27242029 1.53529079 3.43161337];0.51
Cdca7l;[0.13403055 2.68571482 8.58588942];[0.13403055 0.07728871 0.22220034];[3.19687308 1.77644217 6.1172022 ];0.41
Sp4;[0.02617276 2.73140227 5.14889295];[0.00130864        nan        nan];[1.8850731       nan       nan];0.05
Gdi2;[ 2.27987464 11.01317001 38.10313138];[2.16588091 1.5988078  3.22262585];[3.66736546 2.13248758 6.23237007];6.54
Asb13;[0.2677316  0.88014092 2.64877455];[0.01338658        nan        nan];[3.00948914        nan        nan];0.62
Net1;[0.04604996 0.75155647 6.13675499];[0.04604996 0.02303501 0.08397602];[ 8.16539443  3.93143872 17.73130555];0.35
Akr1c14;[0.13204866 3.02786452 3.20566906];[5.55111512e-17            nan            nan];[1.05872275        nan        nan];0.13
Akr1c18;[5.94678860e-03 6.36289294e-01 3.03975031e+01];[0.00624413 0.00293344 0.01275829];[ 44.90670072  15.12646754 128.6866985 ];0.28
Akr1e1;[ 0.75407021 61.8885275  78.44381154];[0.75407021 0.56356572 1.0491264 ];[1.26750166 0.87981891 1.76859149];0.94
Klf6;[ 0.65601585  4.75371488 40.27540147];[0.65601585 0.53171368 0.8128232 ];[ 8.47240578  6.34943795 11.28527925];4.88
Pitrm1;[0.4595943  1.66991562 4.80026356];[0.4595943  0.25435527 0.77469689];[2.87455455 1.38616566 6.33488613];1.04
Pfkp;[2.59223816e-01 1.07281126e+02 5.41584656e+02];[0.25922382 0.20994999 0.32098182];[5.04827526 3.69655947 7.00192031];1.31
Idi1;[0.02230124 2.10123669 3.12710208];[0.00111506        nan        nan];[1.48821982        nan        nan];0.03
Gtpbp4;[ 0.50102095  2.03620647 13.46038893];[0.50102095 0.38767566 0.65437137];[6.6105226  4.53488726 9.37580365];2.66
Zmynd11;[  0.918306   195.29822373 245.27356536];[0.918306   0.68761541 1.26137231];[1.25589245 0.89160123 1.73889741];1.15
Heatr1;[0.56773599 3.09490451 7.60195279];[0.56773599 0.32922445 0.93423579];[2.45628024 1.2457038  5.25095699];1.18
Lgals8;[ 0.74522814  3.10522039 14.53594167];[0.74522814 0.56101627 1.00869258];[4.68113043 3.00747698 7.04430661];2.81
Nid1;[1.04999494e+00 3.15790240e+02 2.32887049e+03];[1.10249469 0.91497772 1.26116699];[7.15349649 5.94753107 8.48842939];7.72
B3galnt2;[0.61776448 3.64645157 5.4573866 ];[0.61776448 0.2939861  1.14664874];[1.49662939 0.67874312 4.14121464];0.79
Tbce;[0.09480986 1.28260912 6.27540168];[0.09480986 0.04695798 0.16583173];[ 4.89268443  2.5005849  10.80532985];0.43
Ggps1;[ 0.76924063 50.37994464 59.7808553 ];[0.76924063 0.5689366  1.08870136];[1.18660026 0.80389098 1.67218159];0.9
Arid4b;[ 0.28863425  2.27507616 10.94701585];[0.28863425 0.21060094 0.41051639];[4.81171401 2.97908657 7.25313165];1.23
Mrpl32;[0.49723367 1.20915478 7.65367878];[0.49723367 0.35107299 0.69961535];[ 6.32977589  3.89135764 10.26790883];2.23
Psma2;[  2.20495579  89.17000628 461.56235034];[1.87421242 1.5227075  2.44237917];[5.17620632 4.34525821 6.19374413];11.14
AW209491;[0.31841388 1.40944515 4.50006095];[0.31841388 0.16663173 0.55568053];[3.19278898 1.51521533 7.20967788];0.83
Inhba;[  0.65931436  16.21662738 294.1332687 ];[0.65931436 0.55990039 0.77053562];[18.13775835 15.20371033 21.87836647];11.49
Cdk13;[ 0.38546095  4.51536686 11.18404751];[0.38546095 0.25191142 0.58667891];[2.47688568 1.45102828 4.31955408];0.88
Rala;[  1.35071456 190.10939784 486.55874613];[1.35071456 1.10326177 1.6584549 ];[2.55936188 2.0440477  3.21209091];3.43
Vps41;[0.58843009 1.18477271 9.49757603];[0.58843009 0.42999261 0.79987931];[ 8.01636969  5.11059442 12.62628291];3.15
Stard3nl;[  0.76712604 118.03900372 515.80723801];[0.76712604 0.64639642 0.94513955];[4.23870928 3.40046739 5.36111834];3.33
Epdr1;[ 0.72702106  8.49672311 32.70100407];[0.69067001 0.52810573 0.92609276];[4.07958031 2.80219354 6.15155326];2.58
Trim27;[ 0.19695934  2.73410727 34.78210365];[0.18711137 0.13391093 0.24840592];[13.86649798  9.42130366 21.11250284];2.34
Zscan12;[ 0.18652285 55.65765463 80.07602711];[0.19584899 0.12154018 0.2993822 ];[1.43872442 0.83847381 2.48091989];0.27
Zkscan3;[0.52471398 2.63397849 4.40452806];[0.52471398 0.23715045 1.01714475];[1.67219591 0.70464775 4.80625487];0.73
Nkapl;[ 0.06078841  7.10078081 13.51309885];[6.9388939e-18           nan           nan];[1.90304408        nan        nan];0.11
Zfp389;[0.01809259 2.08739146 3.12222503];[0.00090463        nan        nan];[1.49575444        nan        nan];0.03
Hist1h1b;[ 0.06441492  5.57777381 18.19233339];[0.06441492 0.03472816 0.10671037];[3.26157603 1.72461593 6.91362275];0.21
Zfp184;[0.02017473 0.11527217 2.12848931];[0.00100874        nan        nan];[18.46490264         nan         nan];0.32
Hist1h1e;[2.61246396e-02 6.26608365e+00 5.11387040e+01];[0.0287371  0.01682339 0.04302456];[ 8.16119077  3.74316774 19.44448245];0.21
Gmnn;[0.08811606 0.8532299  9.82251274];[0.08811606 0.05935638 0.12552222];[11.51215247  7.38754258 18.50490276];0.92
BC005537;[ 0.28881972 12.83852116 30.88726207];[0.28881972 0.18063506 0.43032047];[2.4058271  1.49201876 4.39111273];0.68
Acot13;[3.60682373e-01 1.22917318e+02 4.70006454e+02];[0.34264825 0.28441787 0.42138751];[4.16789954 3.09206596 5.58105862];1.38
Tdp2;[  0.65803791 178.23761782 391.56283484];[0.65803791 0.51527043 0.84358879];[2.19685855 1.65811261 2.93880371];1.44
Mrs2;[ 0.4116679  10.74980531 18.03558174];[0.4116679  0.2461201  0.60427512];[1.67775892 1.05521249 3.28870649];0.67
Sox4;[ 0.31939082  6.46734782 61.29004357];[0.31939082 0.25428692 0.40293505];[ 9.47684357  7.42438196 13.10124898];2.88
E2f3;[0.07041756 0.17222656 2.03609398];[1.38777878e-17            nan            nan];[11.82218337         nan         nan];0.59
Mboat1;[0.08335883 1.3033898  2.46424908];[0.00416794        nan        nan];[1.89064628        nan        nan];0.15
Agtr1a;[3.27479598e-01 1.20261543e+02 3.70736977e+02];[0.3274796  0.25558431 0.42205887];[3.08275586 2.26311097 4.22722856];1.01
Uqcrfs1;[ 1.09846496  5.02706923 32.25427079];[1.09846496 0.87432734 1.40342212];[6.41611828 4.38531728 8.99934824];5.78
Exoc2;[ 0.56243831 39.60246469 58.48415343];[0.56243831 0.41791393 0.78459624];[1.47678065 1.03914984 2.09435798];0.82
Foxc1;[0.01942067 2.08692996 3.11911425];[0.00097103        nan        nan];[1.49459461        nan        nan];0.03
Wrnip1;[ 0.09167333  2.72352647 22.22297062];[0.09167333 0.05852995 0.14317549];[ 8.15963085  4.56107833 14.85543751];0.72
Serpinb1a;[0.03173099 0.74343937 3.98342743];[1.38777878e-17            nan            nan];[5.35810665        nan        nan];0.16
Serpinb6b;[2.41380590e-03 4.49242925e-01 5.20364784e+00];[0.00012069        nan        nan];[11.58314923         nan         nan];0.03
Serpinb9;[0.0935657  0.8852428  2.57770374];[0.00467829        nan        nan];[2.91186072        nan        nan];0.25
Serpinb1b;[0.04502965 3.91801498 7.47287383];[0.00225148        nan        nan];[1.9073112       nan       nan];0.08
Serpinb9e;[2.53959324e-03 4.14250300e-01 3.72887987e+00];[1.30104261e-18            nan            nan];[9.00151397        nan        nan];0.02
Serpinb6a;[   1.89383253  203.68514819 1319.67204419];[1.89383253 1.63075953 2.21890346];[6.47898021 5.48588494 7.66104174];12.16
Nqo2;[  0.7292193  117.39702173 117.71048886];[0.7292193  0.53193175 1.06977486];[1.00267015 0.68042102 1.43238573];0.73
Ripk1;[ 0.7927764  25.33043104 41.72899143];[0.7927764  0.50470872 1.07256396];[1.64738576 1.14637612 3.17517395];1.27
Tubb2a;[ 0.78171152  3.85453224 29.33953555];[0.78171152 0.63330742 0.98369265];[ 7.61169805  5.31314495 10.36893723];4.95
Tubb2b;[ 0.08737895  2.41765303 10.17983057];[0.08737895 0.0504817  0.15013781];[4.21062512 2.11754444 8.22938916];0.36
Psmg4;[  0.85209106 108.90230498 142.15656959];[0.85209106 0.64708768 1.15298635];[1.30535868 0.94640379 1.78365941];1.1
Prpf4b;[ 0.18256528  1.08452272 11.75974359];[0.18256528 0.1275906  0.25420869];[10.8432432   7.04640205 17.08138326];1.69
Eci2;[ 0.42069723  3.37279866 10.99925457];[0.42069723 0.2864637  0.62037435];[3.26116549 1.92392774 5.45430836];1.22
Rpp40;[0.00840185 0.02340276 1.61259865];[3.46944695e-18            nan            nan];[68.90635025         nan         nan];0.43
Nrn1;[0.19519516 0.76418362 8.22592739];[0.19519516 0.13280044 0.27706654];[10.76433362  6.85945951 17.38750218];1.67
Ssr1;[  1.53885109 364.37616364 968.24335536];[1.53885109 1.281001   1.86525715];[2.65726316 2.15479364 3.27917487];4.07
Riok1;[ 0.59246477 65.16852905 92.43087639];[0.59246477 0.44368887 0.80525806];[1.41833609 1.01102074 1.98977168];0.83
Snrnp48;[ 0.38056534  6.51638686 14.15285476];[0.38056534 0.23738882 0.57912984];[2.17188682 1.30411887 4.01530576];0.78
Eef1e1;[ 0.76240212  3.14389023 23.54939588];[0.76240212 0.60946589 0.96760762];[ 7.4905274   5.25584209 10.28634016];4.6
Slc35b3;[ 0.4220736   9.65481696 16.17113808];[0.4220736  0.25488249 0.6250331 ];[1.67492954 1.05799698 3.24145863];0.68
Gcnt2;[0.17438278 2.84859732 7.395443  ];[0.17438278 0.09355254 0.29402253];[2.59617003 1.38816508 5.41132075];0.43
Pak1ip1;[  0.85743649 183.28072112 425.46567872];[0.85743649 0.69269202 1.08206291];[2.32138807 1.78964498 2.97259664];1.98
Tmem14c;[ 1.1184553   4.38944976 25.38878474];[1.1184553  0.87598586 1.46731058];[5.78404724 3.78095269 8.27295541];5.16
Nedd9;[ 0.32798408  4.42345979 13.56414196];[0.32798408 0.2275339  0.47399413];[3.06641014 1.96756391 4.92996795];0.94
Edn1;[ 0.04844422  4.49484363 31.74221413];[0.04844422 0.03001875 0.07676966];[ 7.06191733  4.15812662 12.84654381];0.34
Phactr1;[ 0.0712521  38.42006125 53.35865727];[0.0712521  0.03692197 0.14340979];[1.38882281 0.60986567 3.31947196];0.1
Gfod1;[5.32555114e-02 3.70929721e+01 8.85774566e+01];[0.05325551 0.02855611 0.09615923];[2.38798488 1.1404675  5.59860368];0.13
Nol7;[  0.87055757 141.01080213 381.59007073];[0.91408545 0.73890475 1.13225192];[2.54373893 2.00045361 3.25445868];2.34
Ranbp9;[0.498456   4.45260857 6.59065015];[0.498456   0.24039516 0.87198834];[1.4801773  0.74491127 3.88630796];0.66
Jarid2;[0.25910216 1.08902956 2.29156587];[0.01295511        nan        nan];[2.10422742        nan        nan];0.44
Dtnbp1;[ 0.75443457 11.17165434 49.10543441];[0.71671284 0.56414427 0.97527445];[4.39553829 3.18636122 6.72477205];3.11
Gmpr;[ 0.50637357 85.07240764 90.68590061];[0.50637357 0.36281791 0.76073568];[1.03400534 0.68094864 1.56259472];0.54
Nup153;[0.4381377  2.01207704 5.42204661];[0.4381377  0.2474185  0.75929891];[2.694751   1.27395241 5.73769299];0.97
Kif13a;[0.2724889  3.18051485 7.1779527 ];[0.2724889  0.15805417 0.45323631];[2.25685244 1.2039399  4.42298767];0.57
Nhlrc1;[ 0.06176721 23.88714764 26.30898663];[0.06176721 0.02793655 0.14884125];[1.1013867  0.40630864 3.07233368];0.07
Tpmt;[0.0372289  2.44396218 9.64559769];[0.0372289  0.01519678 0.08107232];[ 3.94670498  1.52880848 11.17918198];0.14
Dek;[5.94842974e-01 7.87535046e+01 6.13189343e+02];[0.59484297 0.51017204 0.70430576];[7.78618483 6.31689429 9.49032048];4.6
Id4;[  0.43290976  74.90301811 296.39045762];[0.43290976 0.34235196 0.55114652];[3.95698952 2.94946172 5.36102786];1.7
Zfp169;[2.21313144e-02 1.26643909e+01 4.30971027e+01];[0.02213131 0.01003912 0.04704725];[ 3.40301425  1.31290835 11.05036392];0.08
Fam120a;[ 0.42494523  1.5958911  21.02906348];[0.42494523 0.33962919 0.53186173];[13.17700401  9.69660894 17.79619757];4.42
1110007C09Rik;[ 0.616956    6.32637836 46.20257424];[0.616956   0.49926981 0.77597735];[7.3031633  5.26818993 9.83055711];4.11
Bicd2;[0.12062067 0.30774292 5.74180958];[0.12062067 0.07206724 0.18350101];[18.65781228 11.24777093 33.85266149];1.62
Cenpp;[ 0.09698587  4.30685023 11.85692231];[0.09698587 0.05326328 0.16432338];[2.75303799 1.46049322 5.62575132];0.26
Ecm2;[5.24356807e-03 1.12718613e+00 9.30233098e+00];[0.00524357 0.00125347 0.01808752];[8.25270181        nan        nan];0.04
Aspn;[1.22420225e-02 1.17681312e+01 3.94785826e+01];[0.01224202 0.00516576 0.03289804];[3.35470281        nan        nan];0.04
Ogn;[ 0.10556953 36.5937276  87.06345574];[0.10556953 0.0748538  0.16510994];[2.30781496 1.36857907 4.20917176];0.25
Nol8;[0.3627637  1.16525902 3.16678867];[0.3627637  0.07255277 0.79195187];[2.71766929        nan        nan];0.75
Iars;[  1.66127499 168.70353882 227.80877453];[1.74433874 1.31573542 2.19589681];[1.35034971 1.01982644 1.75691104];2.22
Spin1;[0.63211161 3.02208875 8.49259686];[0.63211161 0.41293307 1.03567557];[2.81017454 1.41446865 5.0813097 ];1.47
S1pr3;[0.24864302 0.98575383 5.47827013];[0.24864302 0.16614504 0.36415696];[5.5574424  3.39575023 9.17356029];1.1
Cks2;[ 0.44191877 10.29621565 82.908492  ];[0.44191877 0.35566727 0.54205717];[ 8.05232668  6.47065868 10.15150596];3.41
Secisbp2;[  0.24946306  85.58284295 120.58585777];[0.24946306 0.15370809 0.37863411];[1.4089957  0.88145015 2.32501566];0.35
Sema4d;[3.36671168e-03 6.69937683e-01 1.53917192e+01];[0.00336671 0.00090697 0.01023518];[22.97485216         nan         nan];0.08
Gadd45g;[ 0.55401757  1.51751945 66.33591135];[0.55401757 0.47441474 0.64844999];[43.71338459 35.13019552 54.07799923];17.74
Auh;[  0.70562164 167.08657387 424.37431176];[0.74090273 0.58027236 0.89588592];[2.46365146 1.92248589 3.21325594];1.78
