Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidene interval);Burst size from Profile Likelihood(point estimate, and confidene interval);Mean expression
Maml3;[0.11681645 2.38305732 8.88146117];[0.11681645 0.07230461 0.18778707];[3.72691881 2.03010468 6.62869589];0.42
Foxo1;[ 0.53273881  9.07752306 20.51655174];[0.53273881 0.36454377 0.74919009];[2.26014868 1.46589893 3.7972894 ];1.14
Cog6;[0.55231452 1.46805616 5.69050636];[0.55231452 0.31453062 0.923682  ];[3.87621845 1.81746543 8.53190716];1.56
Lhfp;[1.07004122e+00 2.02359593e+02 1.12191593e+03];[1.07004122        nan        nan];[5.37784465 4.48291725 6.51059014];5.9
Nhlrc3;[0.02858924 0.41612391 1.85844519];[0.00142946        nan        nan];[4.46608607        nan        nan];0.12
Ufm1;[ 0.05829475  0.19568207 16.58597118];[0.05829475 0.02028197 0.13452118];[ 84.75978865  29.02311998 285.2589598 ];3.81
Postn;[ 0.17372425  3.64994399 52.15321791];[0.17372425 0.13873167 0.21916816];[14.28877211 10.74692815 19.78726025];2.37
Exosc8;[  0.58401223  33.3013391  199.29299826];[0.55481162 0.44309275 0.68230073];[5.98453406 4.8398515  7.48106233];3.43
Alg5;[  1.00239909  42.53805152 151.45900535];[1.05251905 0.80008261 1.2437626 ];[3.34692023 2.76655576 4.41272438];3.49
Smad9;[0.18054747 4.24142932 4.94861616];[0.00902737        nan        nan];[1.16673314        nan        nan];0.2
Rfxap;[0.24502747 2.18442408 7.4570908 ];[0.24502747 0.15890513 0.38068984];[3.41375599 1.94732201 5.84891178];0.75
Spg20;[ 0.81015712  5.20470247 17.61804494];[0.81015712 0.61198975 1.15920331];[3.28347368 2.01757272 5.06072975];2.37
Dclk1;[  0.91811144 126.56196499 228.82717517];[0.91811144 0.73573842 1.21747085];[1.75378408 1.34047207 2.32359017];1.65
Nbea;[0.00720439 0.02599052 1.33321043];[8.67361738e-18            nan            nan];[51.29603271         nan         nan];0.29
Tm4sf1;[  0.2940702   51.41488721 218.63883152];[0.2940702  0.23338342 0.37088809];[4.25244211 3.18271519 5.78956992];1.24
Wwtr1;[ 0.51494901  1.84458279 11.29022876];[0.51494901 0.37816788 0.70117059];[6.12074927 3.91906691 9.46955245];2.46
Commd2;[ 0.68866317  3.10642024 12.26803517];[0.68866317 0.50028742 0.97029107];[3.94925162 2.39338559 6.25842283];2.23
Rnf13;[0.59484631 1.25614019 7.78161123];[0.59484631 0.39821016 0.87958962];[ 6.19485891  3.45955068 11.06316861];2.5
Pfn2;[0.22967667 1.24291243 8.3485724 ];[0.22967667 0.15885112 0.32121934];[ 6.71694335  4.35031654 10.69249971];1.3
Tsc22d2;[ 0.22938025  5.45229937 35.74399776];[0.21791123 0.15988608 0.30650967];[ 6.75243878  4.59763122 10.65885103];1.44
Serp1;[  1.86052741  36.33126147 239.45510188];[1.76750104 1.40154275 2.1890209 ];[6.59088323 5.30661127 7.826982  ];11.67
Eif2a;[0.38964922 2.28066201 9.23152494];[0.38964922 0.26336506 0.57974091];[4.04773917 2.37966882 6.81855003];1.35
Mbnl1;[  0.82197319  35.30670266 131.27507056];[0.78087453 0.57603555 1.03071504];[3.71813454 2.88416623 4.83743011];2.99
Rap2b;[  0.49965735  91.65814307 175.0997775 ];[0.49965735 0.38003402 0.67080384];[1.91035702 1.3680129  2.66008376];0.95
Mme;[0.02419893 0.3229809  1.45644742];[3.46944695e-18            nan            nan];[4.50939176        nan        nan];0.1
E130311K13Rik;[ 0.39498397  2.81645046 14.43614277];[0.39498397 0.29854026 0.52950318];[5.12565123 3.42070073 7.47124536];1.78
Slc33a1;[0.30664187 1.31878403 4.09954193];[0.30664187 0.11009353 0.58764032];[ 3.10857716  1.32486047 10.87144951];0.77
Gmps;[ 0.24029366  7.45164515 20.37530017];[0.24029366 0.14082275 0.37919861];[2.73433581 1.5703111  5.41067835];0.64
Kcnab1;[0.40460955 1.1835309  2.91798485];[0.40460955 0.12854762 0.85425481];[2.46549106        nan        nan];0.74
Ssr3;[2.61482654e+00 9.89921473e+02 5.31590209e+03];[2.61482654 2.238683   3.05381066];[5.2089233       nan       nan];14.0
4931440P22Rik;[0.00739563 0.58357489 2.88618097];[0.00036978        nan        nan];[4.94569082        nan        nan];0.04
Tiparp;[  0.57696614  68.23217775 221.41321864];[0.57696614 0.46880641 0.71826638];[3.2449971  2.51787715 4.2049021 ];1.86
