Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval);Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval);Mean expression
Arhgap1;[1.70057226e+00 6.26309912e+02 1.74027788e+03];[1.70057226 1.43198709 2.08926887];[2.69526238 2.21423239 3.35137943];4.71
Mdk;[0.00677592 0.54365176 5.61117529];[8.67361738e-18            nan            nan];[10.32126764         nan         nan];0.07
Creb3l1;[  0.88776751  95.81536692 252.25013884];[0.88776751 0.72272473 1.11579912];[2.63266892 2.04243722 3.338053  ];2.32
Phf21a;[ 0.31023683  9.29533535 26.49513392];[0.34126051 0.2453316  0.44746249];[2.59383561 1.80349961 4.01587882];0.86
Pex16;[ 0.36711364  8.3823456  11.13004453];[0.36711364 0.15822007 0.61249356];[1.32779595 0.73347094 3.82561981];0.47
Slc35c1;[0.35921342 1.37311064 3.00038657];[0.35921342 0.13210633 0.72969522];[2.18510182 0.84533844 7.52054341];0.62
Chst1;[0.10009287 0.60172525 1.65993557];[4.16333634e-17            nan            nan];[2.75862708        nan        nan];0.24
Syt13;[ 0.05273074  6.12048239 20.76620494];[0.05273074 0.02681859 0.0888123 ];[3.3929033  1.68014816 6.84689517];0.18
Cd82;[0.49361492 4.20829036 6.02609677];[0.49361492 0.26021005 0.86025307];[1.43195841 0.71284581 3.32702487];0.63
Ext2;[ 1.41009471 12.49179534 60.46888963];[1.41009471 1.12256651 1.79894003];[4.84068847 3.47205085 6.82558051];6.13
Accs;[7.45173329e-02 1.20191704e+02 4.04785162e+02];[0.07451733 0.0515073  0.09849303];[3.26679456 1.90139337 6.14600589];0.25
Alkbh3;[  0.58453799  70.6560722  148.33533495];[0.58453799 0.4645868  0.7561036 ];[2.03641768 1.55103689 2.75914818];1.22
Hsd17b12;[  1.54171623  61.10601399 194.49036823];[1.54171623 1.14966063 1.89137234];[3.18283513 2.60668609 3.89700246];4.79
Ttc17;[ 0.53119728 31.09041416 42.99863872];[0.55775714 0.33057071 0.75811431];[1.38301917 0.92147736 2.61483534];0.72
2810002D19Rik;[0.13962437 0.88574937 2.34718626];[2.77555756e-17            nan            nan];[2.64994403        nan        nan];0.32
Api5;[  0.81921621 138.41681045 354.97310811];[0.81921621 0.65619864 1.0310551 ];[2.5645231  1.98225615 3.32640903];2.09
Lrrc4c;[0.02443771 0.46887259 5.17346072];[0.02443771 0.00947524 0.05110674];[11.03383063  4.60212334 30.30457668];0.26
B230118H07Rik;[ 0.40710361 23.04764581 36.57802236];[0.40710361 0.24038439 0.58736872];[1.58706111 1.08663047 2.31225747];0.63
Prr5l;[0.00433632 0.11885062 2.43562575];[3.46944695e-18            nan            nan];[20.49316832         nan         nan];0.09
Commd9;[  1.01976748 202.24665435 256.76011013];[1.01976748 0.76922053 1.33625774];[1.30762565 0.94836913 1.7452934 ];1.29
Trim44;[0.38502267 0.94973967 7.03265398];[0.38502267 0.25919105 0.55982204];[ 7.40482285  4.42117758 12.57684387];2.03
Fjx1;[ 0.1135667  21.61820772 31.13096604];[0.1135667  0.06685863 0.20521911];[1.44003455 0.74303046 2.82204366];0.16
Pamr1;[ 0.02158627  1.11656075 10.92575523];[0.02158627 0.01118575 0.04028079];[ 9.78518654  4.31376956 21.88636102];0.21
Cd44;[1.85609892e+00 1.97687376e+02 2.57498510e+03];[1.85609892        nan        nan];[13.0255414  11.27966172 15.27529084];23.95
Pdhx;[0.16802832 0.7823885  8.8389144 ];[0.16802832 0.11630287 0.23428058];[11.29734709  7.39397688 17.81219556];1.56
Apip;[0.46438992 1.5288557  7.41191623];[0.46438992 0.32166025 0.67223707];[4.84801556 2.87305303 8.00429433];1.73
Cat;[ 1.07518422 26.42790388 79.64808531];[1.12894343 0.85398132 1.37058293];[2.83296021 2.30034262 3.73816497];3.11
Abtb2;[0.06532906 0.4808921  2.05006484];[0.00326645        nan        nan];[16.92429003         nan         nan];0.25
Nat10;[ 0.67393202 51.30760016 51.42692972];[0.70762862 0.43074263 1.01047511];[0.94218622 0.64363624 1.48138855];0.67
Caprin1;[ 1.19190339  5.71489263 59.13766809];[1.19190339 0.97636345 1.46301006];[10.34799285  7.61944276 13.90360636];10.21
Cd59a;[ 0.2224493   1.29523641 22.96004953];[0.2224493  0.18043926 0.27338744];[17.72653196 13.481057   23.32290196];3.37
Hipk3;[0.59845613 1.89777676 6.34371664];[0.59845613 0.38160383 0.96927014];[3.34270962 1.64609026 6.25682138];1.52
Cstf3;[  0.62841351 147.90887175 266.66577952];[0.62841351 0.47735427 0.82800617];[1.80290591 1.32011527 2.5029941 ];1.13
Tcp11l1;[ 0.06342792  1.98969273 12.40619979];[0.06342792 0.03513782 0.11507665];[ 6.23523401  2.90799849 13.11046161];0.38
Depdc7;[ 0.04540257  3.59618979 13.44940101];[0.04540257 0.02301731 0.08219764];[3.73990301 1.76986995 8.62685925];0.17
Qser1;[3.04827253e-01 1.64391569e+02 4.01843353e+02];[0.30482725 0.23871579 0.39933194];[2.44442799 1.70827754 3.57771382];0.74
Eif3m;[ 0.51248951  1.68705949 25.01238653];[0.51248951 0.41275223 0.63398502];[14.82602522 11.10657377 19.87016176];5.83
Rcn1;[ 1.09584059  5.22637705 63.97958182];[1.09584059 0.91787334 1.32564512];[12.24166975  9.11441311 15.88433789];11.09
Elp4;[0.23210275 1.26379088 3.48330695];[0.23210275 0.05528063 0.4607004 ];[2.75623681        nan        nan];0.54
Dnajc24;[  0.49677317  39.65771251 107.64474012];[0.49677317 0.39136871 0.63442578];[2.71434567 2.04485523 3.63765484];1.33
Kif18a;[0.2855013  9.29328921 9.76076298];[0.2855013  0.09931827 0.50277587];[1.05030229 0.55140866 3.68605946];0.29
Bdnf;[ 0.30399405  1.43761037 16.95496718];[0.30399405 0.23871793 0.386458  ];[11.79385423  8.55693227 16.18688484];2.96
Lgr4;[ 0.14140657  2.23160017 16.51958917];[0.14140657 0.09652728 0.21136641];[ 7.40257568  4.31366328 12.19902837];0.98
Ccdc34;[ 0.23796599  1.8403671  18.50552677];[0.23796599 0.18218515 0.31047244];[10.05534537  7.05994038 14.22426476];2.12
Fibin;[0.01473197 0.45871725 1.34595673];[0.0007366       nan       nan];[2.93417511        nan        nan];0.04
Slc12a6;[0.09508151 1.46414449 4.63186499];[0.09508151 0.02643579 0.20257964];[3.16352998        nan        nan];0.28
Aven;[  0.44239214  81.96609132 117.14529401];[0.44239214 0.31822332 0.63713679];[1.42919215 0.94967965 2.11223818];0.63
Fmn1;[0.27672886 1.07832744 7.12682326];[0.27672886 0.18574907 0.40397073];[ 6.6091458   4.00835934 10.99156566];1.46
Grem1;[ 0.07230758  1.47087403 35.36332321];[0.07230758 0.05410141 0.09628183];[24.04238734 16.1185213  36.5644609 ];1.66
Arhgap11a;[  0.25963954  86.25752375 114.42575187];[0.25963954 0.17251734 0.37972466];[1.36635646 0.86492938 2.20254752];0.34
Aqr;[0.47598837 1.41524171 5.25537494];[0.47598837 0.29181366 0.75862888];[3.71341157 1.92386547 7.20247918];1.32
Zfp770;[ 0.10666075 47.34893528 67.7957558 ];[0.10666075 0.06287967 0.19639018];[1.43183274 0.70652181 2.97373377];0.15
Meis2;[ 0.19863073  4.07093496 16.57817969];[0.19863073 0.12872292 0.2869978 ];[4.31666697 2.51033242 7.05075911];0.77
D330050G23Rik;[ 0.05188415  7.63921131 13.96759533];[0.05188415 0.01468624 0.10830249];[1.82840803 0.76241792 6.95945521];0.09
Spred1;[0.23676215 2.40858663 7.5643611 ];[0.23676215 0.12989874 0.39924682];[3.14058087 1.67451568 6.5671743 ];0.68
Fam98b;[  0.77060363  86.94185312 102.96084715];[0.77060363 0.5735581  1.09103231];[1.18424951 0.82241801 1.6554421 ];0.9
Thbs1;[   1.18858102   11.40894232 1177.68750889];[1.18858102        nan        nan];[103.22495071  89.25525107 119.28209087];111.12
Gpr176;[  0.74866051 107.77194532 263.74180893];[0.74866051 0.60859063 0.94782213];[2.44722138 1.87289723 3.12524939];1.82
Eif2ak4;[0.32495914 1.8011391  1.85606249];[0.01624796        nan        nan];[1.0304937       nan       nan];0.28
Srp14;[1.33127715e+00 3.34385148e+02 2.90895223e+03];[1.33127715 1.12875701 1.50898613];[ 8.96038839  7.57576944 10.59324392];11.54
Bub1b;[ 0.10768172  1.71878055 14.71561426];[0.10768172 0.07805625 0.14787075];[ 8.56165976  5.6638188  12.88609118];0.87
A430105I19Rik;[0.21494733 1.04827855 5.63883841];[0.21494733 0.13182237 0.33182703];[5.37914124 3.08171375 9.78284458];0.96
Bahd1;[ 0.17406103 20.02676295 29.35276387];[0.18276408 0.11435467 0.29471764];[1.4656769  0.8226518  2.63661959];0.25
Chst14;[  1.31395605  28.96579964 115.84704674];[1.31395605 1.01319304 1.6224072 ];[3.99944238 3.02827678 4.89616633];5.03
Ccdc32;[ 0.3768967   6.66783765 13.63178038];[0.3768967  0.20061806 0.56565569];[2.04440796 1.24922251 4.66367859];0.73
Casc5;[0.03891314 0.3828446  3.86711543];[2.08166817e-17            nan            nan];[10.10100549         nan         nan];0.36
Rad51;[ 0.10905569  1.14405039 15.83774456];[0.10905569 0.08155639 0.14384259];[13.84357251  9.62737009 20.05168054];1.38
Gchfr;[ 0.12287987  3.80012441 13.18185556];[0.12287987 0.07677531 0.18957992];[3.46879579 2.09882763 6.1454271 ];0.41
Zfyve19;[0.13937826 0.89885665 4.45851585];[0.13937826 0.06502966 0.23895872];[ 4.96020791  2.56390552 11.83280941];0.6
Vps18;[  0.65374198  89.00502199 173.34886696];[0.65374198 0.49707149 0.85865855];[1.94763018 1.43304647 2.67679393];1.26
Chac1;[ 0.11240368  1.25228584 12.55429051];[0.11240368 0.08226052 0.15365866];[10.02509975  6.64585102 14.97167648];1.03
Ino80;[0.28341253 4.43893825 6.80324359];[0.28341253 0.1224171  0.50189512];[1.53262857 0.7801075  4.23398975];0.41
1700020I14Rik;[ 0.96315259  4.11855044 17.32647295];[0.96315259 0.72316044 1.3365013 ];[4.20693475 2.52389867 6.42010138];3.28
Oip5;[0.0447855  0.23914011 2.47438716];[0.00223928        nan        nan];[10.34701841         nan         nan];0.39
Nusap1;[0.05336564 0.52730198 5.38366044];[0.05336564 0.02893763 0.08682179];[10.20982404  5.74849079 20.02449129];0.49
Ndufaf1;[ 0.50049866  6.59798363 25.66974918];[0.50049866 0.3770573  0.66857399];[3.89054454 2.66549884 5.74406616];1.81
Rtf1;[  0.74760322 321.56511926 706.16497878];[0.74760322 0.6058576  0.95462238];[2.19602481 1.66584904 2.85766889];1.64
Rpap1;[0.18921538 2.53723645 8.66635905];[0.18921538 0.12129779 0.2942048 ];[3.41566867 1.99845505 5.87852735];0.6
Tyro3;[ 0.19993954 10.94034329 18.31083866];[0.19993954 0.10605207 0.32099042];[1.67369873 0.96940054 3.57610154];0.33
Mga;[ 0.86971531 26.59858276 48.19582216];[0.91320108 0.69857191 1.18288528];[1.70325138 1.26594946 2.67863784];1.53
Mapkbp1;[  0.33811479 145.75339145 169.84970763];[0.35502053 0.25657008 0.53092691];[1.13036283 0.70302447 1.77341937];0.39
Ehd4;[  0.56800599  80.45894477 210.32292462];[0.56800599 0.46331305 0.73010675];[2.61404031 1.96618574 3.40623449];1.47
Vps39;[  0.98218874  74.36991891 189.0015345 ];[0.83486043 0.60056451 1.16372661];[2.54137072 2.00094183 3.23654754];2.46
Zfp106;[  0.68865484  80.21148394 273.56864182];[0.68865484 0.55638707 0.85628728];[3.41059195 2.65915503 4.4097027 ];2.33
Snap23;[0.65661062 1.90582147 8.58901639];[0.65661062 0.45224997 0.97806958];[4.50672664 2.47769941 7.69795807];2.2
Lrrc57;[0.16418582 0.70421979 4.08462133];[0.16418582 0.07240032 0.2758695 ];[ 5.80020807  3.05828924 14.9189792 ];0.77
Haus2;[ 0.62370222 38.69667591 40.72219339];[0.62370222 0.33382798 0.93760946];[1.05234345 0.67251877 1.56621448];0.65
Cdan1;[1.00839437e-01 4.76553405e+01 1.56508550e+02];[0.10083944 0.06378306 0.15767605];[3.18565123 1.83524719 6.09095987];0.33
Ubr1;[ 0.4066753   4.08293914 11.94217524];[0.4066753  0.2642369  0.60222589];[2.92489671 1.7669331  5.22055799];1.08
Lcmt2;[ 0.30566513 15.09213043 33.12155079];[0.30566513 0.19712465 0.42710435];[2.19462394 1.46070828 3.86349275];0.66
Tubgcp4;[ 0.28449888  7.2877162  24.36029105];[0.28449888 0.19088471 0.41589094];[3.34265089 2.11885551 5.6186016 ];0.92
Pdia3;[  1.39470546   4.54709359 131.07020372];[1.39470546 1.1934225  1.63661575];[28.82505082 22.86177141 35.85367062];30.77
Serf2;[ 0.40928704  3.68826379 35.81172152];[0.40928704 0.3192273  0.5281102 ];[ 9.70964214  6.89663535 13.57131005];3.58
Mfap1b;[0.08405945 0.31701895 2.36197409];[0.00420297        nan        nan];[7.45057688        nan        nan];0.5
Casc4;[  0.55765077 203.21484138 274.52242876];[0.66918093 0.47487776 0.94669276];[1.06720905 0.73483148 1.5883272 ];0.75
Spg11;[0.16851412 1.15909105 2.85075656];[0.16851412 0.03055088 0.36128837];[2.45947594        nan        nan];0.36
Gatm;[ 0.05716477 24.11705895 34.44337047];[0.05716477 0.03012825 0.12057075];[1.42817458 0.59524954 3.72711834];0.08
Slc30a4;[0.32217462 6.68803316 6.90042551];[0.32217462 0.09431001 0.60166173];[1.03175707        nan        nan];0.32
Sqrdl;[ 0.41278457 49.12389235 84.91575697];[0.41278457 0.31016484 0.57386657];[1.67674588 1.18742757 2.43062981];0.71
Dut;[ 0.59541265 13.456681   75.74542488];[0.59541265 0.4648932  0.74319009];[5.6288341  4.17759532 8.0810621 ];3.21
Fbn1;[   1.20503173   50.48462938 1017.57389587];[1.20503173        nan        nan];[20.15611302 17.29916877 23.77319749];23.72
Cep152;[6.80393679e-02 6.61814753e+01 1.28567657e+02];[0.06803937 0.03605698 0.13081667];[1.82609404 0.8567495  4.13397829];0.13
Eid1;[  1.01792825  66.18757557 173.70076919];[1.01792825 0.83318903 1.26886397];[2.62437123 2.03670138 3.30845585];2.63
Secisbp2l;[0.41477479 2.09227375 8.80788524];[0.41477479 0.29388123 0.60184761];[4.20971932 2.50668656 6.65264739];1.46
Cops2;[  1.45325478  97.1943183  253.73947014];[1.3079293  0.98686696 1.78689883];[2.61064098 2.08782837 3.26932423];3.74
Galk2;[  0.81198421  83.09733812 172.43896994];[0.85258342 0.64741223 0.91414683];[2.07514433 1.59116686 2.70621951];1.67
Fgf7;[ 0.61003322  6.3986616  74.19351638];[0.61003322 0.50839438 0.750488  ];[11.59516178  9.08515727 15.23859039];6.46
Dtwd1;[0.65276138 4.5795473  9.97484149];[0.65276138 0.41985182 1.02209106];[2.17812828 1.20245742 4.05641478];1.24
Atp8b4;[0.03161359 0.63622665 3.14855434];[0.00158068        nan        nan];[4.94879357        nan        nan];0.15
Gabpb1;[0.46570299 5.14321609 6.08784076];[0.46570299 0.18348341 0.87658457];[1.1836642  0.5602032  3.91961347];0.51
Usp8;[0.61049898 3.85447361 9.56604885];[0.61049898 0.39453296 0.96392991];[2.48180421 1.32525778 4.56535088];1.31
Trpm7;[0.32780341 0.62989922 3.85079976];[0.32780341 0.15914785 0.56910972];[ 6.1133585   2.92809842 15.27199126];1.32
Ap4e1;[ 0.12434656 46.10653582 90.04253116];[0.12434656 0.07912994 0.19928579];[1.95292337 1.11485736 3.59444932];0.24
Blvra;[ 0.44648928  3.18915084 12.5573456 ];[0.44648928 0.32746771 0.62907266];[3.93752012 2.42586814 5.99800014];1.54
Ncaph;[0.09073105 0.67486525 5.04329523];[0.09073105 0.05289603 0.14279559];[ 7.47304034  4.33494638 13.76095705];0.6
Snrnp200;[  1.2599494  540.36028653 720.02376337];[1.2599494  0.98790476 1.69818365];[1.29251366 0.96830657 1.73903756];1.67
Ciao1;[ 0.42345924  9.0780393  62.31774134];[0.35994036 0.24595429 0.46918837];[ 9.13001071  6.9700384  15.10285623];2.78
Stard7;[  0.64461985 193.82689283 284.95485894];[0.64461985 0.48592192 0.8740686 ];[1.4701513  1.05015872 2.04020749];0.94
Dusp2;[5.77567468e-03 1.25422649e+00 8.08412617e+00];[0.00577567 0.00126745 0.02073642];[6.44550744        nan        nan];0.04
Fahd2a;[0.06430231 0.61620951 1.40502597];[0.00321512        nan        nan];[2.2801108       nan       nan];0.13
Kcnip3;[0.00577118 0.08338196 2.11446635];[5.20417043e-18            nan            nan];[25.35880028         nan         nan];0.14
Nphp1;[0.39233696 4.17987271 8.38894114];[0.39233696 0.22393166 0.63392128];[2.00698483 1.09473654 4.15748645];0.72
Bub1;[0.03865164 0.341044   3.71600914];[0.03865164 0.01013802 0.07506373];[10.89598149         nan         nan];0.38
Bcl2l11;[ 0.13248514 40.63804735 61.32570788];[0.13248514 0.08497412 0.22102371];[1.50907122 0.83125883 2.79324127];0.2
Gm14005;[  1.22420302  53.11254712 111.07967177];[1.22420302 0.87533305 1.57529279];[2.09140171 1.63180091 2.64675588];2.5
Anapc1;[  1.17041952 212.33225427 284.19351033];[1.11189855 0.86140423 1.46293696];[1.41874404 1.06405755 1.89421855];1.56
Tmem87b;[  0.45209998 184.7057094  311.58116703];[0.45209998 0.42911839 0.5979303 ];[1.73751317 1.23336613 2.53393495];0.76
Zc3h8;[0.21138433 2.89528814 6.76559578];[0.21138433 0.10040244 0.35664201];[2.40686361 1.23808015 5.65684256];0.46
Ttl;[0.25557553 0.93831955 8.35734864];[0.25557553 0.1838413  0.34971778];[ 8.90671905  5.88367432 13.61571419];1.79
Polr1b;[0.26766563 2.04463564 5.21296053];[0.26766563 0.14295172 0.47097327];[2.54957922 1.26972414 5.49675909];0.6
Chchd5;[0.13303547 0.74876529 4.2014044 ];[0.13303547 0.05967898 0.23754469];[ 5.61111002  2.77630864 13.8981393 ];0.63
Slc20a1;[  0.6424598  104.7454315  374.24642766];[0.6424598  0.52505571 0.7856874 ];[3.57291409 2.8082849  4.59009402];2.28
Ckap2l;[ 0.08481774  1.09346162 14.848422  ];[0.08481774 0.06009156 0.11670873];[13.57928047  8.98313416 20.94003984];1.07
Sirpa;[ 0.4406707  13.33326494 15.63927929];[0.46270423 0.3225099  0.70719173];[1.10257485 0.6766021  1.86333333];0.5
Stk35;[ 0.03063886  4.87598921 19.86355244];[0.03063886 0.01294669 0.06038105];[ 4.07374824  1.66740097 11.97401798];0.12
Snrpb;[2.30296078e+00 9.91338068e+02 6.71097138e+03];[2.30296078 1.98342758 2.67157803];[6.566521      nan      nan];15.55
Nop56;[ 0.49872985  1.72659499 23.27962714];[0.49872985 0.40848933 0.61003852];[13.48296924 10.13295671 17.79498795];5.22
Idh3b;[  1.17396314 194.12562779 605.47330838];[1.17396314 0.99453662 1.43548772];[3.02540739 2.45242128 3.7597136 ];3.64
Cpxm1;[ 0.05780939  2.46432644 46.05036892];[0.05780939 0.04186401 0.08249199];[18.6867974  12.33408752 29.50551442];1.06
Vps16;[0.71801797 3.563138   7.00103195];[0.71801797 0.43962881 1.21759586];[1.96485007 0.98053874 3.93808968];1.17
Ptpra;[ 0.78496482  3.32445726 17.87360714];[0.78496482 0.60812723 1.03702696];[5.37639853 3.55908626 7.70761701];3.41
Mrps26;[0.21180167 0.51316078 8.69702174];[0.21180167 0.14556953 0.30051779];[16.94794715 10.69791885 27.23977482];2.54
Fastkd5;[  0.39192919 179.44292469 214.2500683 ];[0.39192919 0.27273508 0.57781367];[1.19397334 0.77428492 1.82846436];0.47
Ddrgk1;[0.20388294 0.49361076 5.80714392];[0.20388294 0.12197111 0.30423106];[11.76462174  7.04813953 22.13998471];1.7
Atrn;[0.27665071 1.09808379 3.32988433];[0.27665071 0.09747855 0.53658124];[ 3.03245013  1.27760888 10.56521635];0.67
Adam33;[ 0.19711498 18.29061132 49.68985857];[0.19711498 0.14437417 0.2777392 ];[2.71668659 1.84548349 4.08705364];0.53
1700037H04Rik;[  0.74413439  89.25182629 210.60857311];[0.74413439 0.59866735 0.95366083];[2.28892029 1.78216151 3.04215487];1.74
Spef1;[0.09126565 2.05664132 5.43827561];[0.09126565 0.03398618 0.17515235];[2.64425087 1.20494763 7.76313141];0.23
Cenpb;[ 0.60572116  7.65446031 33.91880862];[0.60572116 0.46056423 0.78971519];[4.43124757 3.19049072 6.53155058];2.49
Cdc25b;[0.03724665 0.18841551 2.07789158];[6.9388939e-18           nan           nan];[11.02824071         nan         nan];0.34
Mavs;[  0.66539784 156.91827709 217.20265368];[0.66539784 0.50139661 0.89956257];[1.3841769  0.99117946 1.91983345];0.92
Smox;[0.23858014 2.94984102 8.8484429 ];[0.23858014 0.15700113 0.37542973];[2.99963383 1.70731598 5.05051174];0.66
Adra1d;[ 0.52994142  7.34643462 34.76569255];[0.52994142 0.41544612 0.69264994];[4.73232178 3.29174477 6.64362153];2.34
Prnp;[1.20297932e+00 2.38972187e+02 1.50167368e+03];[1.20297932        nan        nan];[6.09536822 5.16667769 7.35675384];7.52
Prnd;[6.14933718e-02 2.24151641e+01 9.94301495e+01];[0.06149337 0.04534372 0.08253875];[4.43584303 2.56496389 8.41917249];0.27
Slc23a2;[ 0.39032861 53.40835815 57.91298212];[0.39032861 0.26685281 0.5927006 ];[1.08434305 0.68451166 1.69570008];0.42
Gpcpd1;[ 0.28116578 61.77987972 86.5003974 ];[0.28116578 0.19404178 0.41681795];[1.40013865 0.89383917 2.20107092];0.39
Trmt6;[0.33904842 1.16074186 8.47161733];[0.33904842 0.22984444 0.48213849];[ 7.29845076  4.50423752 12.27846709];1.92
Plcb4;[ 0.24963411 55.18784092 61.05534881];[0.24963411 0.16078669 0.4070321 ];[1.10631885 0.64153652 1.87191256];0.27
Mkks;[ 0.62580682  9.30603053 25.55817392];[0.62580682 0.4416188  0.85103703];[2.74640985 1.91731369 4.51054012];1.61
Jag1;[  1.01941636 160.32942928 190.41499443];[1.01941636 0.77214921 1.41017151];[1.18764843 0.85346977 1.62041031];1.2
Btbd3;[0.297746   1.9678947  2.89551634];[0.0148873       nan       nan];[1.47137768        nan        nan];0.38
Tasp1;[  0.39669029 205.29855592 208.22205074];[0.39669029 0.25913068 0.61358839];[1.04466742 0.62972174 1.68973073];0.4
Esf1;[ 0.49655709  2.33196336 12.49318454];[0.49655709 0.36956951 0.67083561];[5.35736741 3.50824519 8.06554935];2.19
Kif16b;[0.22585517 5.56208356 5.99000817];[0.22585517 0.06011289 0.44942423];[1.07693603        nan        nan];0.23
Dstn;[  1.41385339  10.75088813 246.80642752];[1.34316072 1.14018511 1.61829271];[25.71166172 18.56479011 32.29389464];28.69
Rrbp1;[  0.95458494  11.76798074 231.26766853];[0.95458494 0.81141715 1.12840501];[19.65228137 15.79018497 23.33991601];17.35
Csrp2bp;[  0.46581959  64.80519207 101.97461712];[0.46581959 0.34106678 0.67227155];[1.52634959 1.03981836 2.27881193];0.73
Rbbp9;[0.30099185 0.7367294  3.23532405];[0.30099185 0.14713181 0.51329301];[ 4.39146865  2.19416338 10.6500604 ];0.94
Sec23b;[0.63957169 2.02164879 9.17215034];[0.63957169 0.45886887 0.91289011];[4.53696527 2.6776782  7.2756728 ];2.2
Dtd1;[ 0.37952903  3.27164033 10.89922117];[0.37952903 0.26564054 0.55707263];[3.33142402 2.01053539 5.33138673];1.13
Rin2;[  0.30669262  77.00862023 104.81747165];[0.30669262 0.21184257 0.45391811];[1.36111349 0.87389561 2.13160876];0.42
Naa20;[ 1.76573762 29.83550985 86.0200581 ];[1.67745074 1.21556288 2.24325524];[3.4021094  2.15091209 5.29177773];4.81
Crnkl1;[  0.58261759  72.83326438 108.299888  ];[0.58261759 0.43680624 0.80351573];[1.48695639 1.06368922 2.10994847];0.86
Thbd;[3.46306347e-01 1.03335319e+02 6.27433587e+02];[0.34630635 0.29580715 0.41838357];[6.07182126 4.67321829 7.9385809 ];2.1
Nxt1;[4.19699923e-01 1.79630817e+02 8.01358906e+02];[0.41969992 0.42002698 0.50808332];[4.59497812 3.57041371 6.00495054];1.87
Cst3;[   2.98223832  164.39496765 1758.31528674];[2.98223832        nan        nan];[10.69567586  9.23072091 12.47335308];31.33
Zfp120;[ 0.22765299 38.78164306 45.77338479];[0.23903564 0.14593933 0.37484852];[1.18028482 0.67988386 2.04183148];0.27
Entpd6;[0.55112392 5.78749242 8.87242785];[0.55112392 0.32446542 0.89048717];[1.5330349  0.83848782 3.12408668];0.77
Pygb;[  0.75651417 138.41868527 272.2360926 ];[0.75651417 0.59909485 0.96380053];[1.96675826 1.49969675 2.58415933];1.48
Abhd12;[ 0.69579995  3.67168072 11.21438909];[0.69579995 0.47856984 1.03843212];[3.0542931  1.78895395 5.24808287];1.79
Ninl;[ 0.09100426 13.20462704 36.54934245];[0.10010469 0.06698144 0.13756487];[2.68488175 1.54615106 4.82997378];0.25
Nsfl1c;[  0.84013467  99.78348306 249.21217351];[0.84013467 0.67662638 1.06846651];[2.49752931 1.94701246 3.22867614];2.08
Fkbp1a;[  2.06791401  38.91846153 511.69937428];[1.96451831 1.62462645 2.3970271 ];[13.14798566 11.32543277 15.36196908];25.82
Psmf1;[0.34470145 0.71630476 4.645475  ];[0.34470145 0.19846252 0.5561643 ];[ 6.4853331   3.36272294 13.28919939];1.51
Fam110a;[0.2916688  1.05803118 5.27905351];[0.2916688  0.18554693 0.44328821];[4.98950656 2.87954664 8.83571484];1.14
Rbck1;[ 0.43531205  3.18826215 16.78208566];[0.43531205 0.32622133 0.58287254];[5.26370947 3.52440301 7.79424429];2.02
Trib3;[ 0.18725613  7.15324838 30.99554178];[0.19661893 0.13844162 0.25682179];[4.33307221 2.84959981 6.41196498];0.79
Zcchc3;[1.58365699e-01 1.59262927e+02 2.45544660e+02];[0.1583657  0.10322015 0.25464398];[1.54175655 0.88421935 2.75931326];0.24
H13;[   1.36946022  124.45382424 1119.95413453];[1.36946022 1.18139043 1.58694127];[ 8.99895316  7.62591673 10.6658535 ];12.19
Id1;[  0.87157661  64.42682017 379.16753472];[0.87157661 0.74763707 1.04112481];[5.88524366 4.81779474 7.07786703];5.06
Tpx2;[ 0.27976975 16.44040486 93.29307893];[0.27976975 0.22682647 0.35001466];[5.67462175 4.33870291 7.5820145 ];1.56
Foxs1;[ 0.11368268  0.76571053 13.27057201];[0.11368268 0.07102574 0.16049512];[17.33105583 11.21134649 30.97618431];1.72
Dusp15;[0.01254405 0.84989267 8.94857062];[0.01254405 0.00529841 0.02922247];[10.52905969  3.69485457 29.33695305];0.13
Pdrg1;[  1.13848793  18.64715985 273.25697983];[1.13848793 0.96008904 1.34742729];[14.65408041 11.56354573 17.30872867];15.72
Hck;[0.16528475 1.95515443 4.72821844];[0.16528475 0.07342896 0.30181274];[2.41833502 1.14238762 6.12592709];0.37
Tm9sf4;[  1.02926381 132.6296899  291.81824675];[1.02926381 0.84881739 1.33049837];[2.13424083 1.6676613  2.74306599];2.25
Plagl2;[ 0.1605887  13.02053657 18.56222813];[0.16861813 0.10785134 0.27729001];[1.42561161 0.7586519  3.42677826];0.23
Pofut1;[ 0.53417565 15.20385037 30.31484254];[0.53417565 0.35334897 0.74461074];[1.99389245 1.34982333 3.49888596];1.03
Kif3b;[  0.45680242  69.18602269 101.92903775];[0.52532278 0.36330034 0.71767269];[1.29646928 0.87966453 1.92719528];0.67
Commd7;[ 0.74501193  3.29214325 15.96732691];[0.74501193 0.56377172 1.00366556];[4.85013126 3.09133396 7.27105045];2.95
Dnmt3b;[0.0076292  1.32591787 4.72927926];[1.73472348e-18            nan            nan];[3.56679653        nan        nan];0.03
Mapre1;[ 1.15473893  5.32701527 52.44778055];[1.15473893 0.95825128 1.41593675];[ 9.84562233  7.18075338 13.01095703];9.34
Cdk5rap1;[0.24590924 3.90534701 5.68415215];[0.24590924 0.09381217 0.45225144];[1.45547941 0.70871883 4.52631989];0.34
