Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval);Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval);Mean expression
Urgcp;[ 0.39823034 33.33873939 67.27765129];[0.39823034 0.29840502 0.53650453];[2.01800226 1.44889347 2.86482589];0.79
Dbnl;[ 0.68118929  1.77466092 11.48280375];[0.68118929 0.52017563 0.90216527];[6.47042127 4.27668674 9.51752502];3.19
Pgam2;[0.0097744  0.21000996 3.21502339];[1.21430643e-17            nan            nan];[15.30890893         nan         nan];0.14
Polm;[3.01479005e-01 3.35114047e+02 4.13630818e+02];[0.301479   0.23752103 0.54190479];[1.1972697  0.75401108 1.91397071];0.37
Aebp1;[  1.08085698   6.248028   223.60112453];[1.08085698        nan        nan];[34.71384742 27.23810287 43.53789906];32.98
Pold2;[ 0.40331947 10.51830168 40.69406293];[0.40331947 0.30574765 0.5317892 ];[3.86888151 2.74015345 5.637525  ];1.5
Ykt6;[ 1.19484058 20.15886223 49.08610411];[1.19484058 0.86116411 1.57960007];[2.43496401 1.72904205 4.01533898];2.75
Nudcd3;[0.15630205 0.40040962 7.48386746];[0.15630205 0.10639114 0.22175215];[18.69052839 12.09410177 29.69052534];2.1
Ddx56;[ 0.70493053  3.27462783 14.18057232];[0.70493053 0.52986184 0.96943337];[4.33043785 2.6822449  6.50515761];2.51
Tmed4;[ 1.34377637 10.45491959 23.60328137];[1.34377637 0.93232724 1.9347844 ];[2.25762438 1.37549215 3.98194821];2.69
Ogdh;[  1.07792778 109.31741368 301.3577764 ];[1.07792778 0.88158992 1.32251514];[2.75672252 2.18872682 3.46120017];2.94
H2afv;[6.97457009e-01 1.90449671e+02 8.50072790e+02];[0.69745701 0.58256804 0.8278341 ];[4.59740869 3.65629175 5.68522217];3.1
Purb;[0.02547635 0.33435816 8.23750843];[0.02547635 0.00544354 0.05350432];[24.63678034         nan         nan];0.58
Nacad;[1.37455575e-01 5.70572467e+01 1.91753368e+02];[0.13745557 0.10469083 0.19268462];[3.25989734 2.17815477 5.22748929];0.46
Tbrg4;[  1.31993909 170.35657318 173.71646343];[1.31993909 0.99573993 1.83936137];[1.01972269 0.72857194 1.38741805];1.34
Igfbp3;[ 0.12455013 54.44446286 59.1296687 ];[0.12455013 0.07227729 0.23805877];[1.08605477 0.5223674  2.26742633];0.13
Tns3;[  1.37531964 154.70094074 274.52878971];[1.37531964 1.1013252  1.74330722];[1.77457738 1.38089451 2.2714757 ];2.42
Upp1;[0.02443403 0.77947283 2.66303488];[3.46944695e-18            nan            nan];[3.41645632        nan        nan];0.08
Zpbp;[0.01186263 0.39207642 3.20610365];[5.20417043e-18            nan            nan];[8.17724164        nan        nan];0.09
Fignl1;[1.70201267e-01 2.42975964e+02 9.22584460e+02];[0.17020127 0.14039078 0.20474407];[3.91093002 2.66535102 5.77477881];0.65
Grb10;[ 0.07137919  0.44386907 28.93732231];[0.07137919 0.05362286 0.09343434];[65.19337428 46.18126238 92.99021153];4.01
Cobl;[0.04404447 1.81988193 8.86367667];[0.04404447 0.02377182 0.08213532];[ 4.87046798  2.32724802 10.20827346];0.21
Sec61g;[ 2.22405663 13.79294459 75.46761823];[2.22405663 1.74263669 2.9820275 ];[5.30732138 3.6597659  8.11771603];10.48
Egfr;[4.33021494e-01 2.82819382e+02 1.06250347e+03];[0.43302149        nan        nan];[3.86953175 2.93750397 5.07766692];1.62
Wdr92;[  0.416421   113.47834523 148.14482336];[0.416421   0.29856301 0.60089092];[1.30548981 0.86714849 1.94930117];0.54
Pno1;[ 0.66864161  2.64658055 20.3707263 ];[0.66864161 0.53373923 0.84904059];[ 7.69699842  5.41951644 10.5620104 ];4.11
C1d;[2.39671179e-01 1.90853259e+02 7.45276786e+02];[0.23967118 0.18295955 0.30858221];[3.9049728  2.39139389 6.75291382];0.93
Etaa1;[ 0.19190879 18.38013982 44.91296391];[0.19190879 0.1398587  0.27303854];[2.44355943 1.62449082 3.75594663];0.46
Meis1;[  0.27706883  69.58502539 100.10283426];[0.27706883 0.18612846 0.42282123];[1.43856862 0.88771932 2.33893991];0.4
Actr2;[  3.19190207 416.60138259 612.04357643];[3.03230697 2.50023038 3.8553752 ];[1.51320881 1.20556572 1.90419611];4.65
Rab1;[  2.41266581 303.7556609  457.70721308];[2.5332991  1.98597243 3.12429254];[1.46162213 1.14479243 1.84261802];3.61
Cep68;[ 0.51697555 86.47837173 94.154889  ];[0.51697555 0.3622424  0.76462822];[1.08876806 0.71011272 1.6421898 ];0.56
Slc1a4;[0.2676338  1.4628275  5.48197944];[0.2676338  0.17302046 0.41252821];[3.74752282 2.1308303  6.4471143 ];0.85
Sertad2;[ 0.51649549  6.36553941 13.00884015];[0.51649549 0.33003849 0.77764746];[2.04363516 1.22688947 3.75685668];0.98
Aftph;[ 0.40946542  6.66658725 10.91774398];[0.40946542 0.24238182 0.65120274];[1.63768111 0.97063579 3.22026932];0.63
Peli1;[0.22769076 2.12309362 4.76821253];[0.22769076 0.07301656 0.43161999];[2.24587954 1.01667239 8.44384748];0.46
Ugp2;[  1.19302184 239.47586741 900.59108224];[1.19302184 1.00528393 1.4261773 ];[3.76067573 3.07871327 4.59395642];4.46
Mdh1;[  1.0035153   74.94979806 472.96134859];[1.0035153  0.85266927 1.18478862];[6.31037522 5.23903587 7.66231923];6.25
Ehbp1;[  0.33465065 163.72523965 193.76001792];[0.33465065 0.15505287 0.51572725];[1.18344623 0.72973591 1.88557482];0.4
Tmem17;[  0.23704029 100.5081232  115.24167304];[0.23704029 0.15454301 0.38352835];[1.14659064 0.66420519 1.92377233];0.27
Commd1;[2.51062889e-01 3.96952159e+01 4.53875427e+02];[0.25106289 0.19915478 0.31257405];[11.43400826  8.4352601  16.08796294];2.85
B3gnt2;[  0.4055195  176.5876796  183.62869363];[0.4055195  0.2874655  0.62281133];[1.03987262 0.64772507 1.61352993];0.42
Zrsr1;[0.06563308 0.99353697 2.71810158];[0.00328165        nan        nan];[2.73578302        nan        nan];0.17
Cct4;[ 1.61665094  6.64063631 42.8080533 ];[1.61665094 1.27427758 2.116205  ];[6.44637822 4.16660027 9.28171528];8.38
Fam161a;[4.87742318e-02 5.08455772e+01 4.37381512e+02];[0.04877423 0.03380713 0.06681986];[ 8.34408989  4.63126309 16.98437836];0.42
Xpo1;[0.23558995 0.41368692 9.41496971];[0.23558995 0.16659709 0.32490244];[22.75868352 15.00165066 35.28194202];3.42
Usp34;[ 0.21854078  0.70590012 10.7140732 ];[0.21854078 0.14778862 0.30621278];[15.17788836  9.74587585 25.10705956];2.53
